site_no,site_name,timestamp_utc,flow_cfs,pct_change_1h,pct_change_3h,pct_change_6h
2076000,"DAN RIVER AT SOUTH BOSTON, VA",2025-11-17 14:00:00+00:00,836.0,-0.4761904761904762,1.951219512195122,5.555555555555555
2077000,"BANISTER RIVER AT HALIFAX, VA",2025-11-17 14:00:00+00:00,128.0,0.0,0.0,-9.219858156028367
3529500,"POWELL RIVER AT BIG STONE GAP, VA",2025-11-17 14:15:00+00:00,76.8,-2.2900763358778593,-6.569343065693438,-8.680142687277048
3490000,"N F HOLSTON RIVER NEAR GATE CITY, VA",2025-11-17 14:15:00+00:00,174.0,-1.694915254237288,-3.3333333333333335,-5.434782608695652
2056650,"BACK CREEK NEAR DUNDEE, VA",2025-11-17 14:15:00+00:00,12.5,0.0,-4.580152671755722,-8.088235294117645
2054530,"ROANOKE RIVER AT GLENVAR, VA",2025-11-17 14:15:00+00:00,57.1,0.0,0.0,-2.0583190394511077
3170000,"LITTLE RIVER AT GRAYSONTOWN, VA",2025-11-17 14:15:00+00:00,94.4,0.0,0.0,0.0
2050000,"BLACKWATER RIVER AT HWYS 58/258 AT FRANKLIN, VA",2025-11-17 14:15:00+00:00,383.0,-1.2886597938144329,-217.48466257668713,-6399.3421052631575
2047000,"NOTTOWAY RIVER NEAR SEBRELL, VA",2025-11-17 14:15:00+00:00,196.0,-1.0101010101010102,-2.4875621890547266,-2.0
3171000,"NEW RIVER AT RADFORD, VA",2025-11-17 14:15:00+00:00,1110.0,-20.714285714285715,9.900990099009901,-20.714285714285715
3527000,"CLINCH RIVER AT SPEERS FERRY, VA",2025-11-17 14:15:00+00:00,337.0,0.0,0.0,0.0
204309906,"CONVEYANCE CHAN AT RAMSGATE LN NR GREAT BRIDGE, VA",2025-11-17 14:25:00+00:00,0.37,0.0,0.0,19.35483870967742
2040000,"APPOMATTOX RIVER AT MATTOAX, VA",2025-11-17 14:30:00+00:00,158.0,0.0,-1.25,-2.4691358024691357
3173000,"WALKER CREEK AT BANE, VA",2025-11-17 14:30:00+00:00,48.2,0.0,-2.2312373225152013,-4.1749502982107245
3175500,"WOLF CREEK NEAR NARROWS, VA",2025-11-17 14:30:00+00:00,43.3,-2.696629213483152,-2.696629213483152,-2.696629213483152
3208950,"CRANES NEST RIVER NEAR CLINTWOOD, VA",2025-11-17 14:30:00+00:00,27.7,-5.136986301369864,-7.666666666666669,2.9739776951672887
2064000,"FALLING RIVER NEAR NARUNA, VA",2025-11-17 14:30:00+00:00,40.6,0.0,-2.8708133971291767,-2.8708133971291767
2045500,"NOTTOWAY RIVER NEAR STONY CREEK, VA",2025-11-17 14:30:00+00:00,106.0,0.0,0.0,1.9230769230769231
3207800,"LEVISA FORK AT BIG ROCK, VA",2025-11-17 14:30:00+00:00,68.0,0.0,0.0,-2.4390243902439064
2047370,"NOTTOWAY RIVER NEAR RIVERDALE, VA",2025-11-17 14:30:00+00:00,1940.0,-1.5228426395939088,-224.35897435897436,-4.433497536945813
2059500,"GOOSE CREEK NEAR HUDDLESTON, VA",2025-11-17 14:30:00+00:00,44.2,-3.493449781659377,-6.751054852320666,-6.751054852320666
2039000,"BUFFALO CREEK NEAR HAMPDEN SYDNEY, VA",2025-11-17 14:30:00+00:00,16.1,5.228758169934645,0.0,-7.999999999999992
3176500,"NEW RIVER AT GLEN LYN, VA",2025-11-17 14:30:00+00:00,1650.0,-3.508771929824561,-10.326086956521738,-7.82122905027933
2041000,"DEEP CREEK NEAR MANNBORO, VA",2025-11-17 14:30:00+00:00,30.6,0.0,0.0,-1.607717041800643
3164000,"NEW RIVER NEAR GALAX, VA",2025-11-17 14:30:00+00:00,629.0,0.0,0.0,-1.7187500000000002
2052000,"MEHERRIN RIVER AT EMPORIA, VA",2025-11-17 14:30:00+00:00,128.0,3.225806451612903,3.225806451612903,-0.7751937984496124
3168000,"NEW RIVER AT ALLISONIA, VA",2025-11-17 14:30:00+00:00,1270.0,0.0,0.0,0.0
2079640,"ALLEN CREEK NEAR BOYDTON, VA",2025-11-17 14:30:00+00:00,27.2,2.255639097744353,2.255639097744353,1.115241635687735
3471500,"S F HOLSTON RIVER AT RIVERSIDE, NEAR CHILHOWIE, VA",2025-11-17 14:44:00+00:00,23.9,-4.016064257028113,-4.016064257028113,0.0
3475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-17 14:44:00+00:00,65.4,-2.242152466367713,-2.242152466367713,-4.385964912280701
2051190,"MEHERRIN RIVER AT RT 637 NEAR SOUTH HILL, VA",2025-11-17 14:45:00+00:00,36.7,0.0,-2.1333333333333258,-8.4788029925187
2056900,"BLACKWATER RIVER NEAR ROCKY MOUNT, VA",2025-11-17 14:45:00+00:00,47.6,0.0,0.0,6.966292134831464
2062500,"ROANOKE (STAUNTON) RIVER AT BROOKNEAL, VA",2025-11-17 14:45:00+00:00,713.0,-0.8344923504867872,0.0,1.8571428571428572
3524000,"CLINCH RIVER AT CLEVELAND, VA",2025-11-17 14:45:00+00:00,164.0,1.8633540372670807,0.0,-3.5294117647058822
2046000,"STONY CREEK NEAR DINWIDDIE, VA",2025-11-17 14:45:00+00:00,73.9,2.496532593619988,5.120910384068291,13.86748844375963
